"Site","Year","Month","Cystoseira_osmundasea","Eisenia_arborea","Juvenile_laminariales","Laminaria_farlowii","macrocystis_pyrifera","Macrocystis_pyrifera","macrocystis_pyrifera_stipes","Macrocystis_pyrifera_stipes","Pterygophora_californica","sargassum_muticum","Sargassum_muticum","Undaria_pinnatifida"
"Gavilanes",2016,5,0,6.5,0,0,0,0,0,0,0,0,54.5,0
"Gavilanes",2016,6,0,6.25,0,4.6,0,1.66666666666667,0,1.66666666666667,0,0,9.75,0
"Gavilanes",2016,10,0,4.83333333333333,0,3.66666666666667,2,6,2.66666666666667,8.66666666666667,0,0,0,0
"Gavilanes",2017,8,1,27.5,0,1,0,9.5,0,169.5,1,0,0,0
"Gavilanes",2017,10,0,37.5,0,0,0,11,0,254.5,0,0,0,18
"Gavilanes",2018,3,9.16666666666667,21.8333333333333,7.5,0,0,6.5,0,67.8333333333333,0,0,4.4,0
"Piedra_Blanca",2016,5,0,0,0,0,0,0,0,0,0,0,8.83333333333333,0
"Piedra_Blanca",2016,6,0,3.25,0,0,0,0,0,0,0,0,6.75,0
"Piedra_Blanca",2016,10,0,4,0,15,0,0,0,0,0,29,0,0
"Piedra_Blanca",2017,6,0,15,0,0,0,68.6,0,307,2,0,0,0
"Piedra_Blanca",2017,8,0,2.5,0,0,0,33.5,0,159,0,0,0,0
"Piedra_Blanca",2017,10,0,4,0,0,0,29.25,0,181.5,0,3,0,0
"Piedra_Blanca",2018,3,0,7,2,0,0,17,0,143,0,0,0,0
