"Site","Year","Month","Cystoseira_osmundasea","Desmarestia_spp","Eisenia_arborea","Juvenile_laminariales","Laminaria_farlowii","macrocystis_pyrifera","Macrocystis_pyrifera","macrocystis_pyrifera_stipes","Macrocystis_pyrifera_stipes","Pterygophora_californica","sargassum_muticum","Sargassum_muticum","undaria_pinnatifida","Undaria_pinnatifida"
"Gavilanes",2016,5,0,0,6.5,0,0,0,0,0,0,0,0,54.5,0,0
"Gavilanes",2016,6,0,0,6.25,0,4.6,0,1.66666666666667,0,1.66666666666667,0,0,9.75,0,0
"Gavilanes",2016,10,0,0,4.83333333333333,0,3.66666666666667,2,6,2.66666666666667,8.66666666666667,0,0,0,0,0
"Gavilanes",2017,6,0,0,32.3333333333333,0,0,0,17.5,0,259.25,0,0,0,0,0
"Gavilanes",2017,8,13.5,0,25,0,2.33333333333333,0,11.8,0,131,1,0,0,0,0
"Gavilanes",2017,10,0,11,32.75,0,0,0,12.5,0,273.833333333333,0,0,0,1,16
"Gavilanes",2018,3,8.75,0,20.3333333333333,4,0,0,11.5789473684211,0,57.2777777777778,0,0,3.83333333333333,0,0
"Piedra_Blanca",2016,5,0,0,0,0,0,0,0,0,0,0,0,8.83333333333333,0,0
"Piedra_Blanca",2016,6,0,0,3.25,0,0,0,0,0,0,0,0,6.75,0,0
"Piedra_Blanca",2017,6,0,0,15,0,0,0,68.6,0,307,2,0,0,0,0
"Piedra_Blanca",2017,8,9,0,5,0,18,0,23.3333333333333,0,139.333333333333,0,0,0,0,0
"Piedra_Blanca",2017,10,0,0,17.5,0,0,0,32.3333333333333,0,293.166666666667,0,4.5,0,0,4
"Piedra_Blanca",2018,3,2.16666666666667,0,7.33333333333333,3,0,0,11.6111111111111,0,101.555555555556,0,0,1,0,0
