"Site","Year","Month","Anisotremus_davidsonii","caulolatilus_princeps","Caulolatilus_princeps","Chromis_punctipinnis","Embiotoca_jacksoni","Embiotoca_lateralis","Girella_nigricans","Halichoeres_semicinctus","Heterostichus_rostratus","Hypsypops_rubicundus","Medialuna_californiensis","Oxyjulis_californica","Paralabrax_clathratus","Paralabrax_nebulifer","Rhacochilus_vacca","Rhinobatos_productus","Semicossyphus_pulcher","Sphoeroides_spp.","Sphyraena_afra"
"Gavilanes",2016,5,3,0,0,1.33333333333333,0,0,1,4.33333333333333,0,1.375,0,0,2.47368421052632,1,0,0,1,0,0
"Gavilanes",2016,6,0,0,0,1,1,0,1.33333333333333,2.71428571428571,0,1.125,0,0,2.33333333333333,1,0,0,1,0,0
"Gavilanes",2016,10,0,0,0,2.25,0,0,2,2.16666666666667,0,1.14285714285714,0,0,1,1,0,0,1.14285714285714,0,23
"Gavilanes",2017,6,0,0,0,0,0,0,0,0,0,1.8,0,0,1,1,0,0,1,1,0
"Gavilanes",2017,8,0,0,0,0,0,0,0,0,0,1.5,0,0,3.75,2,2,0,2,0,0
"Gavilanes",2017,10,1.66666666666667,0,0,0,0,3,1,1,0,3,0,0,1.2,0,2,0,1.5,0,0
"Gavilanes",2018,3,0,0,0,0,0,0,0,5,0,0,0,34.5,1.85714285714286,2,0,0,1.5,0,0
"Piedra_Blanca",2016,5,7.66666666666667,15,2.33333333333333,32,0,0,0,3.33333333333333,0,2.2,0,70,5.63636363636364,0,0,0,2.28571428571429,0,0
"Piedra_Blanca",2016,6,14.5,0,0,4.5,3.5,0,12,2.5,0,1.5,0,0,1.4,0,0,0,1,0,0
"Piedra_Blanca",2016,10,0,0,0,0,0,0,11,6.875,0,1.33333333333333,0,0,1.08333333333333,0,0,0,1,0,0
"Piedra_Blanca",2017,2,0,0,0,6.33333333333333,0,0,1.5,10.25,1,1.33333333333333,0,0,4.83333333333333,0,0,0,2,0,0
"Piedra_Blanca",2017,8,0,0,0,0,0,0,12,4.66666666666667,0,2.5,0,0,5,0,6,1,3,0,0
"Piedra_Blanca",2017,10,0,0,0,2.5,0,0,0,0,0,0,1,0,3,0,1,0,1.5,0,0
"Piedra_Blanca",2018,3,0,0,0,17,0,2,0,1.5,0,1.33333333333333,0,0,1.8,0,4,0,3,0,0
